timestamp,target_id,x,y,z,vx,vy,vz,status
6.4,8,3533.2,252.519,250.926,88.4959,6.32484,6.28494,TENTATIVE
6.6,1,664.216,5007.76,3003.18,98.8234,0.0285939,-0.534944,CONFIRMED
6.6,3,671.926,7356.98,3008.97,101.321,-101.294,0.179718,CONFIRMED
6.6,8,3550.9,253.784,252.183,88.4959,6.32484,6.28494,TENTATIVE
6.7,1,674.098,5007.77,3003.13,98.8234,0.0285939,-0.534944,CONFIRMED
6.7,3,680.903,7346.53,3010.04,100.818,-101.426,0.623212,CONFIRMED
6.7,8,3559.75,254.416,252.812,88.4959,6.32484,6.28494,TENTATIVE
6.9,1,693.774,5007.14,3004.1,98.7532,-0.264213,-0.0297036,CONFIRMED
6.9,3,701.915,7326.3,3009.84,101.184,-101.407,0.486432,CONFIRMED
6.9,8,3577.45,255.681,254.069,88.4959,6.32484,6.28494,TENTATIVE
7.1,1,714.753,5009.87,3006.66,99.2713,0.187407,0.652597,CONFIRMED
7.1,3,720.813,7304.01,3008.96,100.744,-100.544,0.775051,CONFIRMED
7.1,9,9212.82,2503.07,3233.46,-167.588,-45.5327,-58.819,TENTATIVE
7.2,1,725.788,5010.07,3006.14,99.8238,0.259867,0.377658,CONFIRMED
7.2,3,730.888,7293.96,3009.04,100.744,-100.544,0.775051,CONFIRMED
7.2,9,9196.06,2498.51,3227.57,-167.588,-45.5327,-58.819,TENTATIVE
7.4,1,746.168,5010.63,3005.27,100.026,0.487057,-0.0568672,CONFIRMED
7.4,3,751.995,7274.33,3007.8,101.139,-100.348,0.193937,CONFIRMED
7.4,9,9162.54,2489.41,3215.81,-167.588,-45.5327,-58.819,TENTATIVE
7.6,1,765.337,5010.02,3006.66,99.6332,0.168429,0.58202,CONFIRMED
7.6,3,769.056,7254.53,3008.01,99.7826,-100.207,0.242459,CONFIRMED
7.6,9,9129.03,2480.3,3204.05,-167.588,-45.5327,-58.819,TENTATIVE
7.7,1,775.853,5010.1,3006.46,99.9044,0.190862,0.470864,CONFIRMED
7.7,3,779.034,7244.51,3008.04,99.7826,-100.207,0.242459,CONFIRMED
7.7,9,9112.27,2475.75,3198.17,-167.588,-45.5327,-58.819,TENTATIVE
7.9,1,796.275,5009.49,3007.51,100.126,-0.109446,0.911411,CONFIRMED
7.9,3,798.871,7224.33,3008.45,99.7394,-100.265,0.393202,CONFIRMED
7.9,9,9078.75,2466.64,3186.4,-167.588,-45.5327,-58.819,TENTATIVE
8.1,1,815.596,5011.34,3006.73,99.4586,-1.23943,-0.71718,CONFIRMED
8.1,3,818.911,7203.45,3008.17,99.9053,-99.4418,0.729334,CONFIRMED
8.1,9,9045.23,2457.54,3174.64,-167.588,-45.5327,-58.819,TENTATIVE
8.3,1,835.958,5010.56,3007.33,99.6963,-1.49202,-0.370102,CONFIRMED
8.3,3,840.71,7183.32,3008.36,100.677,-99.5566,0.749623,CONFIRMED
8.3,9,9011.71,2448.43,3162.87,-167.588,-45.5327,-58.819,TENTATIVE
8.5,1,856.548,5009.78,3007.87,100.03,-1.71795,-0.0961006,CONFIRMED
8.5,3,859.987,7163.66,3008.16,100.304,-99.4453,0.606475,CONFIRMED
8.5,9,8978.2,2439.32,3151.11,-167.588,-45.5327,-58.819,TENTATIVE
8.7,1,875.886,5009.77,3007.5,99.6924,-1.55856,-0.258625,CONFIRMED
8.7,3,879.416,7144.37,3007.05,100.025,-99.1946,0.104482,CONFIRMED
8.7,9,8944.68,2430.22,3139.35,-167.588,-45.5327,-58.819,TENTATIVE
8.8,1,885.437,5009.96,3007.02,99.4797,-1.39127,-0.472662,CONFIRMED
8.8,3,889.638,7134.76,3006.26,100.125,-99.0593,-0.244961,CONFIRMED
8.8,9,8927.92,2425.66,3133.46,-167.588,-45.5327,-58.819,TENTATIVE
9,1,905.753,5010,3006.28,99.6895,-1.25356,-0.765993,CONFIRMED
9,3,909.908,7116.04,3005.96,100.172,-99.1317,-0.584371,CONFIRMED
9,9,8894.4,2416.56,3121.7,-167.588,-45.5327,-58.819,TENTATIVE
9.2,1,926.628,5011.83,3007.54,100.578,1.96179,1.25022,CONFIRMED
9.2,3,930.082,7095.73,3006.92,100.232,-99.3329,-0.141119,CONFIRMED
9.2,9,8860.89,2407.45,3109.94,-167.588,-45.5327,-58.819,TENTATIVE
9.3,1,936.467,5012.37,3007.17,100.457,2.1244,1.02061,CONFIRMED
9.3,3,939.297,7086.38,3005.8,99.8804,-99.0803,-0.600766,CONFIRMED
9.3,9,8844.13,2402.9,3104.06,-167.588,-45.5327,-58.819,TENTATIVE
9.5,1,956.505,5012.76,3007.45,100.436,2.11344,1.04599,CONFIRMED
9.5,3,959.207,7066.55,3005.74,99.8555,-99.0901,-0.568841,CONFIRMED
9.5,9,8810.61,2393.79,3092.29,-167.588,-45.5327,-58.819,TENTATIVE
9.7,1,977.232,5012.99,3007.78,100.761,2.01489,1.10049,CONFIRMED
9.7,3,980.249,7046.37,3006.12,100.321,-99.2459,-0.36901,CONFIRMED
9.7,9,8777.09,2384.68,3080.53,-167.588,-45.5327,-58.819,TENTATIVE
9.8,1,987.269,5013.41,3007.52,100.725,2.13017,0.920406,CONFIRMED
9.8,3,991.014,7036.57,3005.54,100.639,-99.1949,-0.597207,CONFIRMED
9.8,9,8760.33,2380.13,3074.65,-167.588,-45.5327,-58.819,TENTATIVE
10,1,1007.03,5014,3007.57,100.533,2.20832,0.855195,CONFIRMED
10,3,1010.29,7015.94,3004.36,99.9962,-101.162,-1.73417,CONFIRMED
10,9,8726.81,2371.02,3062.88,-167.588,-45.5327,-58.819,TENTATIVE
10.2,1,1027.36,5011.7,3007.89,100.543,0.447047,0.623522,CONFIRMED
10.2,3,1029.82,6995.75,3004.07,99.8068,-101.141,-1.70747,CONFIRMED
10.2,10,3033.56,3001.48,2993.56,23.1481,39.5568,37.3035,TENTATIVE
10.3,1,1037.47,5011.76,3007.9,100.575,0.456588,0.595566,CONFIRMED
10.3,3,1039.44,6985.31,3004.79,99.649,-101.277,-1.3353,CONFIRMED
10.3,10,3027.66,3010.18,3000.82,9.72787,47.6673,42.7608,TENTATIVE
10.5,1,1057.88,5011.66,3008.23,100.724,0.362678,0.696659,CONFIRMED
10.5,3,1059.49,6964.8,3005.07,99.6945,-101.387,-1.10133,CONFIRMED
10.5,10,3014.22,3034.85,3009.54,-14.9297,72.4629,42.5975,TENTATIVE
10.7,1,1077.89,5011.32,3009.11,100.664,0.177193,1.02815,CONFIRMED
10.7,3,1078.99,6944.89,3004.15,99.503,-101.225,-1.39828,CONFIRMED
10.7,10,3003.66,3063.21,3011.28,-26.3188,92.5087,33.3702,TENTATIVE
10.8,1,1088.51,5011.3,3009.07,100.943,0.154587,0.96231,CONFIRMED
10.8,3,1087.58,6935.11,3003.73,98.9008,-101.075,-1.51502,CONFIRMED
10.8,10,3002.04,3074.84,3011.11,-24.9613,95.8174,28.576,TENTATIVE
11,1,1109.18,5014.25,3010.55,100.627,-1.13871,-0.0273471,CONFIRMED
11,3,1106.58,6914.55,3004.49,98.5597,-101.212,-1.0732,CONFIRMED
11,10,2997.82,3096.65,3013.2,-24.1335,98.8444,24.5255,TENTATIVE
11.2,1,1128.91,5013.78,3011.1,100.433,-1.24831,0.235258,CONFIRMED
11.2,3,1128.24,6894.53,3005.29,99.5797,-100.071,-0.21679,CONFIRMED
11.2,10,3002.1,3122.42,3009.88,-17.8333,102.015,14.0788,TENTATIVE
11.2,11,3198.84,1298.66,2639.56,-102.082,-41.4431,-84.2345,TENTATIVE
11.2,12,-1615.15,1648.07,482.538,-119.707,122.147,35.7634,TENTATIVE
11.2,13,-3543.81,3084.71,2688.02,33.0864,-28.8001,-25.0964,TENTATIVE
11.3,1,1139.62,5013.75,3010.71,100.763,-1.21289,0.0404542,CONFIRMED
11.3,3,1137.85,6884.24,3006.05,99.4255,-100.191,0.116739,CONFIRMED
11.3,10,3002.1,3132.86,3009.27,-16.1079,102.212,12.1674,TENTATIVE
11.3,11,3188.64,1294.51,2631.14,-102.082,-41.4431,-84.2345,TENTATIVE
11.3,12,-1627.12,1660.29,486.114,-119.707,122.147,35.7634,TENTATIVE
